Panther_Protein_Class,count
transferase,15
non-receptor serine/threonine protein kinase,11
reductase,9
metalloprotease,8
hydrolase,8
transfer/carrier protein,7
DNA metabolism protein,7
growth factor,7
kinase,6
zinc finger transcription factor,6
nucleotide kinase,5
dehydrogenase,5
phosphodiesterase,5
serine protease,5
small GTPase,4
protein phosphatase,4
protein modifying enzyme,4
peroxidase,4
decarboxylase,4
transmembrane signal receptor,4
translation initiation factor,3
RNA methyltransferase,3
oxidoreductase,3
"chromatin/chromatin-binding, or -regulatory protein",3
C4 zinc finger nuclear receptor,3
dehydratase,3
cysteine protease,3
ATP-binding cassette (ABC) transporter,3
winged helix/forkhead transcription factor,3
chaperone,3
phosphatase,3
methyltransferase,2
nucleotidyltransferase,2
aldolase,2
lyase,2
ion channel,2
G-protein coupled receptor,2
protease,2
secondary carrier transporter,2
RNA splicing factor,2
esterase,2
Hsp90 family chaperone,2
isomerase,2
glycosidase,2
mRNA capping factor,1
histidine kinase receptor of two-component system,1
amylase,1
phospholipase,1
endoribonuclease,1
Hsp70 family chaperone,1
carbohydrate kinase,1
microtubule or microtubule-binding cytoskeletal protein,1
RNA processing factor,1
RNA helicase,1
galactosidase,1
scaffold/adaptor protein,1
tyrosine protein kinase receptor,1
extracellular matrix protein,1
protease inhibitor,1
DNA methyltransferase,1
heterotrimeric G-protein,1
oxygenase,1
DNA glycosylase,1
non-motor actin binding protein,1
glycosyltransferase,1
epimerase/racemase,1
ATP synthase,1
ligand-gated ion channel,1
