Panther_Protein_Class,Count
serine protease,138
non-receptor serine/threonine protein kinase,124
dehydratase,98
non-receptor tyrosine protein kinase,50
hydrolase,45
transmembrane signal receptor,41
protein phosphatase,41
reductase,39
phosphatase,31
transferase,30
methyltransferase,26
nucleotide kinase,24
dehydrogenase,21
aldolase,20
DNA topoisomerase,19
phosphodiesterase,19
metalloprotease,18
kinase,18
oxidase,16
oxidoreductase,12
oxygenase,12
protease,11
transfer/carrier protein,11
ATP-binding cassette (ABC) transporter,11
esterase,9
small GTPase,9
isomerase,8
ligase,7
nucleotidyltransferase,7
decarboxylase,7
glycosyltransferase,6
scaffold/adaptor protein,6
endoribonuclease,6
pyrophosphatase,6
lyase,6
aminoacyl-tRNA synthetase,5
carbohydrate phosphatase,5
ubiquitin-protein ligase,5
acetyltransferase,5
damaged DNA-binding protein,5
histone modifying enzyme,5
transporter,5
Hsp70 family chaperone,5
C4 zinc finger nuclear receptor,4
peroxidase,4
protease inhibitor,4
zinc finger transcription factor,4
transaminase,4
growth factor,3
aspartic protease,3
extracellular matrix protein,3
acyltransferase,3
carbohydrate kinase,3
DNA-directed DNA polymerase,3
protein modifying enzyme,3
immunoglobulin receptor superfamily,3
winged helix/forkhead transcription factor,3
epimerase/racemase,3
"chromatin/chromatin-binding, or -regulatory protein",3
glycosidase,2
DNA metabolism protein,2
amylase,2
kinase inhibitor,2
heterotrimeric G-protein,2
DNA glycosylase,2
DNA-binding transcription factor,2
chaperone,1
histidine kinase receptor of two-component system,1
G-protein coupled receptor,1
RNA methyltransferase,1
mRNA polyadenylation factor,1
serine/threonine protein kinase receptor,1
DNA strand-pairing protein,1
homeodomain transcription factor,1
primary active transporter,1
translational protein,1
tyrosine protein kinase receptor,1
cysteine protease,1
deaminase,1
deacetylase,1
hydratase,1
mutase,1
phospholipase,1
G-protein,1
immunoglobulin,1
RNA processing factor,1
intercellular signal molecule,1
calmodulin-related,1
